iter	Passed	Remaining
0	49	24619
1	52	12960
2	54	9106
3	57	7128
4	59	5938
5	62	5130
6	64	4547
7	67	4129
8	68	3742
9	71	3480
10	73	3268
11	75	3084
12	78	2930
13	80	2794
14	82	2651
15	84	2550
16	86	2460
17	88	2377
18	91	2305
19	92	2228
20	94	2158
21	96	2094
22	98	2038
23	100	1985
24	101	1936
25	103	1890
26	105	1848
27	107	1808
28	109	1771
29	110	1736
30	112	1701
31	114	1669
32	115	1638
33	117	1609
34	119	1583
35	120	1558
36	122	1534
37	124	1511
38	126	1489
39	127	1468
40	129	1448
41	131	1428
42	132	1410
43	134	1393
44	136	1377
45	137	1360
46	139	1344
47	141	1329
48	142	1314
49	144	1300
50	146	1286
51	147	1273
52	149	1260
53	150	1247
54	152	1234
55	154	1221
56	155	1211
57	157	1199
58	159	1189
59	160	1178
60	162	1167
61	163	1157
62	165	1147
63	167	1138
64	168	1129
65	170	1120
66	171	1111
67	173	1102
68	175	1093
69	176	1085
70	178	1077
71	179	1069
72	181	1062
73	183	1054
74	185	1048
75	186	1041
76	188	1034
77	189	1027
78	191	1020
79	193	1013
80	194	1007
81	196	1001
82	197	994
83	199	988
84	201	982
85	202	976
86	204	970
87	206	965
88	207	959
89	209	953
90	210	948
91	212	942
92	214	937
93	215	931
94	217	926
95	218	921
96	220	916
97	222	911
98	223	906
99	225	901
100	226	896
101	228	891
102	230	887
103	231	882
104	233	877
105	234	873
106	236	868
107	238	864
108	239	859
109	241	856
110	243	852
111	244	848
112	246	844
113	248	839
114	249	835
115	251	832
116	253	828
117	254	824
118	256	820
119	257	816
120	259	812
121	261	809
122	262	805
123	264	802
124	266	798
125	267	795
126	269	791
127	271	787
128	272	784
129	274	780
130	275	777
131	277	773
132	279	770
133	280	766
134	282	763
135	283	759
136	285	756
137	287	753
138	288	750
139	290	747
140	292	744
141	293	740
142	295	737
143	296	734
144	298	731
145	300	729
146	302	726
147	304	723
148	305	720
149	307	717
150	309	715
151	311	712
152	312	709
153	314	706
154	315	703
155	317	700
156	319	697
157	320	693
158	322	691
159	323	688
160	325	685
161	327	682
162	328	679
163	330	677
164	332	674
165	333	671
166	335	668
167	337	666
168	338	663
169	340	660
170	342	658
171	343	655
172	345	652
173	346	649
174	348	647
175	350	644
176	351	641
177	353	639
178	355	636
179	357	634
180	358	632
181	360	629
182	361	626
183	363	624
184	365	622
185	366	619
186	368	616
187	370	614
188	371	611
189	373	609
190	374	606
191	376	604
192	378	602
193	380	599
194	381	596
195	383	594
196	384	591
197	386	589
198	388	587
199	389	584
200	391	582
201	393	579
202	394	577
203	396	574
204	397	572
205	399	570
206	401	567
207	402	565
208	404	563
209	406	561
210	407	558
211	409	556
212	411	553
213	412	551
214	414	549
215	415	546
216	417	544
217	419	542
218	421	540
219	422	538
220	424	536
221	426	533
222	427	531
223	429	529
224	431	526
225	432	524
226	434	522
227	436	520
228	437	518
229	439	515
230	440	513
231	442	511
232	444	508
233	445	506
234	447	504
235	449	502
236	450	500
237	452	497
238	453	495
239	455	493
240	457	491
241	458	489
242	460	486
243	461	484
244	463	482
245	465	480
246	466	478
247	468	475
248	470	473
249	471	471
250	473	469
251	475	467
252	476	465
253	478	463
254	480	461
255	481	459
256	483	456
257	485	454
258	486	453
259	488	451
260	490	448
261	491	446
262	493	444
263	495	442
264	496	440
265	498	438
266	500	436
267	502	434
268	503	432
269	505	430
270	506	428
271	508	426
272	510	424
273	511	422
274	513	420
275	515	418
276	516	416
277	518	413
278	520	412
279	522	410
280	523	408
281	525	406
282	527	404
283	529	402
284	531	400
285	532	398
286	534	396
287	535	394
288	537	392
289	539	390
290	541	388
291	543	386
292	544	384
293	546	382
294	547	380
295	549	378
296	551	376
297	552	374
298	554	372
299	556	370
300	558	369
301	560	367
302	561	365
303	563	363
304	564	361
305	566	359
306	568	357
307	570	355
308	572	353
309	573	351
310	575	349
311	576	347
312	578	345
313	580	343
314	581	341
315	583	339
316	584	337
317	586	335
318	588	333
319	589	331
320	591	329
321	593	327
322	594	325
323	596	324
324	598	322
325	599	320
326	601	318
327	603	316
328	604	314
329	606	312
330	607	310
331	609	308
332	611	306
333	612	304
334	614	302
335	616	300
336	617	298
337	619	296
338	620	294
339	622	293
340	624	291
341	626	289
342	627	287
343	629	285
344	630	283
345	632	281
346	634	279
347	635	277
348	637	275
349	639	274
350	641	272
351	642	270
352	644	268
353	647	266
354	649	265
355	651	263
356	652	261
357	654	259
358	656	257
359	658	255
360	659	254
361	661	252
362	663	250
363	664	248
364	666	246
365	667	244
366	669	242
367	671	240
368	672	238
369	675	237
370	676	235
371	678	233
372	679	231
373	681	229
374	683	227
375	684	225
376	686	224
377	688	222
378	690	220
379	692	218
380	693	216
381	695	214
382	696	212
383	698	211
384	700	209
385	702	207
386	703	205
387	705	203
388	707	201
389	708	199
390	710	198
391	712	196
392	713	194
393	715	192
394	717	190
395	718	188
396	720	186
397	722	185
398	724	183
399	725	181
400	727	179
401	729	177
402	730	175
403	732	174
404	734	172
405	736	170
406	738	168
407	739	166
408	741	164
409	743	163
410	744	161
411	746	159
412	747	157
413	749	155
414	751	153
415	753	152
416	754	150
417	756	148
418	757	146
419	759	144
420	761	142
421	762	140
422	764	139
423	766	137
424	767	135
425	769	133
426	770	131
427	772	129
428	774	128
429	775	126
430	777	124
431	779	122
432	781	120
433	782	119
434	784	117
435	786	115
436	788	113
437	790	111
438	792	110
439	793	108
440	795	106
441	797	104
442	798	102
